code,category,number,title,units,desc
SLAVIC 328-0,SLAVIC,328-0,"Prague: City of Cultures, City of Conflict",1,"Examination of the cultural, political, and social transformation of Prague from the 19th century to the present. Cosmopolitan Prague, communist Prague, and capitalist Prague. SLAVIC 328-0 and GERMAN 328-0 are taught together; may not receive credit for both courses. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 341-0,SLAVIC,341-0,Structure of Modern Russian,1,SLAVIC 341-0 Structure of Modern Russian (1 Unit) Formal Studies Distro Area
SLAVIC 360-0,SLAVIC,360-0,Survey of 19th Century Russian Poetry,1,SLAVIC 360-0 Survey of 19th Century Russian Poetry (1 Unit) Literature Fine Arts Distro Area
SLAVIC 361-0,SLAVIC,361-0,Survey of 20th Century Russian Poetry,1,SLAVIC 361-0 Survey of 20th Century Russian Poetry (1 Unit) Literature Fine Arts Distro Area
SLAVIC 367-1,SLAVIC,367-1,Russian Film,1,"Development of Russian film and film theory from the silent era to the 1980s. Golden Age of Russian cinema (Eisenstein, Pudovkin, Vertov, Protazanov, Vasiliev brothers, Dovzhenko, socialist realism). Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 368-0,SLAVIC,368-0,Andrei Tarkovsky's Aesthetics and World Cinema,1,"Major films of Tarkovsky and of Russian and non-Russian directors whose work is related to his (Eisenstein, Wenders, Bergman, Kurosawa). Literature Fine Arts Distro Area"
SLAVIC 369-0,SLAVIC,369-0,Russian Drama,1,SLAVIC 369-0 Russian Drama (1 Unit) Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
SLAVIC 390-0,SLAVIC,390-0,History and Culture in Central and Eastern Europe,1,SLAVIC 390-0 History and Culture in Central and Eastern Europe (1 Unit) Advanced Expression Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area
SLAVIC 392-0,SLAVIC,392-0,East European Literature and Visual Arts,1,"Course focuses on the intersection of literature, visual arts, film, and politics in Central and Eastern Europe. Content varies; may be repeated for credit. Advanced Expression Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 396-0,SLAVIC,396-0,Topics in Literature and Arts,1,Content varies. May be repeated for credit. Literature Fine Arts Distro Area
SLAVIC 399-0,SLAVIC,399-0,Independent Study,1,For majors selected as candidates for departmental honors; for other advanced students with consent of instructor.
SLAVIC 399-SA,SLAVIC,399-SA,Independent Study,1,For majors selected as candidates for departmental honors; for other advanced students with consent of instructor.
