code,category,number,title,units,desc
LING 327-0,LING,327-0,Language & Sexuality,1,"The use of language to construct sexual identity, focusing on the language of and about members of LGBTQ+ community. Topics include heteronormativity, identity labels and categories, gender vs. sex vs. sexuality, and cross-cultural sexual diversity. Taught with LING 327-0; may not receive credit for both courses. 
Prerequisite: any 200-level course in linguistics or consent of instructor."
LING 330-0,LING,330-0,Research Methods in Linguistics,1,"LING 330-0 Research Methods in Linguistics (1 Unit) 
Prerequisite: any 200 level course in linguistics, graduate standing or consent of instructor.
Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area Social Behavioral Sciences Distro Area"
LING 331-0,LING,331-0,Text Processing for Linguists,1,LING 331-0 Text Processing for Linguists (1 Unit) Formal Studies Distro Area
LING 334-0,LING,334-0,Introduction to Computational Linguistics,1,"LING 334-0 Introduction to Computational Linguistics (1 Unit) 
Prerequisites: COMP_SCI 110-0 or LING 331-0, or consent of instructor. Programming experience required.
Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
LING 341-0,LING,341-0,Language Typology,1,"LING 341-0 Language Typology (1 Unit) 
Prerequisite: any 200 level course in linguistics, graduate standing or consent of instructor.
Formal Studies Distro Area"
LING 342-0,LING,342-0,Structure of Various Languages,1,LING 342-0 Structure of Various Languages (1 Unit) Formal Studies Distro Area
LING 350-0,LING,350-0,Fundamentals of Laboratory Phonology,1,"LING 350-0 Fundamentals of Laboratory Phonology (1 Unit) 
Prerequisite: any 200-level Linguistics course or consent of instructor.
Natural Sciences Distro Area Natural Sciences Foundational Discipline"
LING 360-0,LING,360-0,Fundamentals of Syntax,1,"LING 360-0 Fundamentals of Syntax (1 Unit) 
Prerequisite: LING 260-0.
Formal Studies Distro Area"
LING 363-0,LING,363-0,Making a Dictionary: The Northwestern Project,1,"Creation of an online dictionary of Northwestern jargon, slang, etc. Learning about the connection between language, society, and identity; sociolinguistic fieldwork; lexicography; politics of dictionaries; culture and power of book form vs. digital. LING 363-0 and SLAVIC 322-0 are taught together; may not receive credit for both courses. Social Behavioral Sciences Distro Area"
LING 370-0,LING,370-0,Fundamentals of Meaning,1,LING 370-0 Fundamentals of Meaning (1 Unit) Formal Studies Distro Area
LING 371-0,LING,371-0,Reference,1,"Linguistic and philosophical approaches to the study of reference, focusing on the role of context in the use and interpretation of referring expressions. Topics include definiteness, common ground, genericity, deixis, and anaphora. 
Prerequisite: any 200-level course in linguistics, a course in philosophy of language, or consent of instructor.
Formal Studies Distro Area"
LING 372-0,LING,372-0,Pragmatics,1,"LING 372-0 Pragmatics (1 Unit) 
Prerequisite: any 200-level course in linguistics or consent of instructor."
LING 373-0,LING,373-0,Implicature,1,"LING 373-0 Implicature (1 Unit) 
Prerequisite: any 200-level course in linguistics or consent of instructor.
Social Behavioral Sciences Distro Area"
LING 380-0,LING,380-0,Spoken English for Nonnative Speakers,0,LING 380-0 Spoken English for Nonnative Speakers (0 Unit)  
LING 381-0,LING,381-0,Written English for Nonnative Speakers,0,LING 381-0 Written English for Nonnative Speakers (0 Unit)  
LING 398-0,LING,398-0,Undergraduate Seminar in Linguistics,1,"By invitation of the department. For students of superior ability, with choice of topic left to the group."
LING 399-0,LING,399-0,Independent Study,1,
